Index	Desc	TitleID	ItemID	IsBind	ItemNum	ZhanJi
INT	STRING	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1025;TableType=Hash;						
#奖励	程序不读	称号ID	物品ID	类型	数量	战绩
1		25	50035	1	1	32
2		25	50036	1	1	32
3		25	50037	1	1	32
4		25	50038	1	1	32
5		25	50039	1	1	32
6		25	50040	1	1	32
7		25	50041	1	1	32
8		25	50042	1	1	32
9		26	50043	1	1	24
10		26	50044	1	1	24
11		26	50045	1	1	24
12		26	50046	1	1	24
13		26	50047	1	1	24
14		26	50048	1	1	24
15		26	50049	1	1	24
16		26	50050	1	1	24
17		27	50051	1	1	16
18		27	50052	1	1	16
19		27	50053	1	1	16
20		27	50054	1	1	16
21		27	50055	1	1	16
22		27	50056	1	1	16
23		27	50057	1	1	16
24		27	50058	1	1	16
25		27	50059	1	1	8
26		27	50060	1	1	8
27		27	50061	1	1	8
28		27	50062	1	1	8
29		27	50063	1	1	8
30		27	50064	1	1	8
31		27	50065	1	1	8
32		27	50066	1	1	8
33		28	50059	1	1	8
34		28	50060	1	1	8
35		28	50061	1	1	8
36		28	50062	1	1	8
37		28	50063	1	1	8
38		28	50064	1	1	8
39		28	50065	1	1	8
40		28	50066	1	1	8
41		29	50067	1	1	4
42		29	50068	1	1	4
43		29	50069	1	1	4
44		29	50070	1	1	4
45		29	50071	1	1	4
46		29	50072	1	1	4
47		29	50073	1	1	4
48		29	50074	1	1	4
49		30	50075	1	1	2
50		30	50076	1	1	2
51		30	50077	1	1	2
52		30	50078	1	1	2
53		30	50079	1	1	2
54		30	50080	1	1	2
55		30	50081	1	1	2
56		30	50082	1	1	2
57		31	50083	1	1	1
58		31	50084	1	1	1
59		31	50085	1	1	1
60		31	50086	1	1	1
61		31	50087	1	1	1
62		31	50088	1	1	1
63		31	50089	1	1	1
64		31	50090	1	1	1
