Id	Desc	Name	CookDuration	OpenLevel	RewardItemID_1	RewardItemNum_1	RewardItemID_2	RewardItemNum_2	RewardItemID_3	RewardItemNum_3	Money	BindYuanBao	PlayerExp	RestaurantExp	CostYuanBao
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=512;MAX_RECORD=512;TableType=Index;															
#食物ID	程序不读	食品名称	烹饪时间（秒）	开放等级	奖励物品1	物品1数量	奖励物品2	物品2数量	奖励物品3	物品3数量	金币	绑定元宝	玩家经验	酒楼经验	完成上菜消耗的元宝数量
0	经验菜1	油焖春笋	1800	1	-1	0	-1	0	-1	0	0	0	792	6	5
1	经验菜1	无锡肉骨头	14400	1	-1	0	-1	0	-1	0	0	0	5068	48	5
2	经验菜1	清拌粉皮儿	28800	1	-1	0	-1	0	-1	0	0	0	7603	96	5
3	金币菜1	拌皮渣儿	1800	1	-1	0	-1	0	-1	0	72	0	0	6	5
4	金币菜1	油爆双脆	14400	1	-1	0	-1	0	-1	0	460	0	0	48	5
5	金币菜1	夫妻肺片	28800	1	-1	0	-1	0	-1	0	691	0	0	96	5
6	道具菜1（锻石）	炸鹿尾儿	1800	1	2012	10	-1	0	-1	0	0	0	0	6	5
7	道具菜1（锻石）	八大锤	14400	1	2012	60	-1	0	-1	0	0	0	0	48	5
8	道具菜1（锻石）	叫化鸡	28800	1	2012	90	-1	0	-1	0	0	0	0	96	5
9	道具菜1（璞玉）	什锦葛仙米	1800	1	2021	10	-1	0	-1	0	0	0	0	6	5
10	道具菜1（璞玉）	麻辣肉丁	14400	1	2021	60	-1	0	-1	0	0	0	0	48	5
11	道具菜1（璞玉）	煮饽饽锅子	28800	1	2021	90	-1	0	-1	0	0	0	0	96	5
12	道具菜1（药材）	炒芡子米	1800	1	2030	10	-1	0	-1	0	0	0	0	6	5
13	道具菜1（药材）	拌海蜇	14400	1	2030	60	-1	0	-1	0	0	0	0	48	5
14	道具菜1（药材）	菊花锅子	28800	1	2030	90	-1	0	-1	0	0	0	0	96	5
15	经验菜2	西湖莼菜汤	1800	2	-1	0	-1	0	-1	0	0	0	1512	6	5
16	经验菜2	香酥焖肉	14400	2	-1	0	-1	0	-1	0	0	0	9676	48	5
17	经验菜2	烧百合	28800	2	-1	0	-1	0	-1	0	0	0	14515	96	5
18	金币菜2	虎跑素火煺	1800	2	-1	0	-1	0	-1	0	144	0	0	6	5
19	金币菜2	烤方	14400	2	-1	0	-1	0	-1	0	921	0	0	48	5
20	金币菜2	奶汁肥王鱼	28800	2	-1	0	-1	0	-1	0	1382	0	0	96	5
21	道具菜1（锻石）	汤圆子锅	1800	2	2012	20	-1	0	-1	0	0	0	0	6	5
22	道具菜1（锻石）	湘西酸肉	14400	2	2012	100	-1	0	-1	0	0	0	0	48	5
23	道具菜1（锻石）	怀抱鲤	28800	2	2012	150	-1	0	-1	0	0	0	0	96	5
24	道具菜2（锻石）	酸菜鱼	1800	2	2013	10	-1	0	-1	0	0	0	0	6	5
25	道具菜2（锻石）	氽肥肠儿	14400	2	2013	20	-1	0	-1	0	0	0	0	48	5
26	道具菜2（锻石）	茄汁鱼卷	28800	2	2013	30	-1	0	-1	0	0	0	0	96	5
27	道具菜1（璞玉）	熏斑鸠	1800	2	2021	20	-1	0	-1	0	0	0	0	6	5
28	道具菜1（璞玉）	白肉丝儿	14400	2	2021	100	-1	0	-1	0	0	0	0	48	5
29	道具菜1（璞玉）	尤溪卜鸭	28800	2	2021	150	-1	0	-1	0	0	0	0	96	5
30	道具菜2（璞玉）	清炖全鸡	1800	2	2022	10	-1	0	-1	0	0	0	0	6	5
31	道具菜2（璞玉）	一卵孵双凤	14400	2	2022	20	-1	0	-1	0	0	0	0	48	5
32	道具菜2（璞玉）	虾爆鳝背	28800	2	2022	30	-1	0	-1	0	0	0	0	96	5
33	道具菜1（药材）	干炸响铃	1800	2	2030	20	-1	0	-1	0	0	0	0	6	5
34	道具菜1（药材）	肉酿生麸	14400	2	2030	100	-1	0	-1	0	0	0	0	48	5
35	道具菜1（药材）	辣子鸡丁	28800	2	2030	150	-1	0	-1	0	0	0	0	96	5
36	道具菜2（药材）	一品锅	1800	2	2031	10	-1	0	-1	0	0	0	0	6	5
37	道具菜2（药材）	荔枝肉	14400	2	2031	20	-1	0	-1	0	0	0	0	48	5
38	道具菜2（药材）	酿山药	28800	2	2031	30	-1	0	-1	0	0	0	0	96	5
39	经验菜3	焖鱼头	1800	3	-1	0	-1	0	-1	0	0	0	2232	6	5
40	经验菜3	白汁圆菜	14400	3	-1	0	-1	0	-1	0	0	0	14284	48	5
41	经验菜3	瓜丝儿	28800	3	-1	0	-1	0	-1	0	0	0	21427	96	5
42	金币菜3	带子上朝	1800	3	-1	0	-1	0	-1	0	216	0	0	6	5
43	金币菜3	烹丁香	14400	3	-1	0	-1	0	-1	0	1382	0	0	48	5
44	金币菜3	叫化童鸡	28800	3	-1	0	-1	0	-1	0	2073	0	0	96	5
45	道具菜1（锻石）	小炒螃蟹	1800	3	2012	20	-1	0	-1	0	0	0	0	6	5
46	道具菜1（锻石）	赛蟹羹	14400	3	2012	140	-1	0	-1	0	0	0	0	48	5
47	道具菜1（锻石）	沛县狗肉	28800	3	2012	210	-1	0	-1	0	0	0	0	96	5
48	道具菜2（锻石）	烧槟子	1800	3	2013	10	-1	0	-1	0	0	0	0	6	5
49	道具菜2（锻石）	腌鲜鳜鱼	14400	3	2013	70	-1	0	-1	0	0	0	0	48	5
50	道具菜2（锻石）	香露全鸡	28800	3	2013	100	-1	0	-1	0	0	0	0	96	5
51	道具菜3（锻石）	火烧茨菰	1800	3	2014	10	-1	0	-1	0	0	0	0	6	5
52	道具菜3（锻石）	麻辣野鸡	14400	3	2014	30	-1	0	-1	0	0	0	0	48	5
53	道具菜3（锻石）	鱼咬羊	28800	3	2014	40	-1	0	-1	0	0	0	0	96	5
54	道具菜1（璞玉）	红扒鱼翅	1800	3	2021	20	-1	0	-1	0	0	0	0	6	5
55	道具菜1（璞玉）	海参盆蒸	14400	3	2021	140	-1	0	-1	0	0	0	0	48	5
56	道具菜1（璞玉）	水晶肴蹄	28800	3	2021	210	-1	0	-1	0	0	0	0	96	5
57	道具菜2（璞玉）	醉排骨	1800	3	2022	10	-1	0	-1	0	0	0	0	6	5
58	道具菜2（璞玉）	浇鸳鸯	14400	3	2022	70	-1	0	-1	0	0	0	0	48	5
59	道具菜2（璞玉）	香炸琵琶虾	28800	3	2022	100	-1	0	-1	0	0	0	0	96	5
60	道具菜3（璞玉）	清炖鸡孚	1800	3	2023	10	-1	0	-1	0	0	0	0	6	5
61	道具菜3（璞玉）	火烘鱼	14400	3	2023	30	-1	0	-1	0	0	0	0	48	5
62	道具菜3（璞玉）	冬菜肉末	28800	3	2023	40	-1	0	-1	0	0	0	0	96	5
63	道具菜1（药材）	凤尾虾	1800	3	2030	20	-1	0	-1	0	0	0	0	6	5
64	道具菜1（药材）	烩腰丁儿	14400	3	2030	140	-1	0	-1	0	0	0	0	48	5
65	道具菜1（药材）	木须菜	28800	3	2030	210	-1	0	-1	0	0	0	0	96	5
66	道具菜2（药材）	肉丁辣酱	1800	3	2031	10	-1	0	-1	0	0	0	0	6	5
67	道具菜2（药材）	金香饼	14400	3	2031	70	-1	0	-1	0	0	0	0	48	5
68	道具菜2（药材）	板栗烧菜心	28800	3	2031	100	-1	0	-1	0	0	0	0	96	5
69	道具菜3（药材）	炒肉片	1800	3	2032	10	-1	0	-1	0	0	0	0	6	5
70	道具菜3（药材）	烹大肉	14400	3	2032	30	-1	0	-1	0	0	0	0	48	5
71	道具菜3（药材）	三丝拌蛏	28800	3	2032	40	-1	0	-1	0	0	0	0	96	5
72	经验菜4	洞庭金龟	1800	4	-1	0	-1	0	-1	0	0	0	2952	6	5
73	经验菜4	龙井虾仁	14400	4	-1	0	-1	0	-1	0	0	0	18892	48	5
74	经验菜4	网油叉烧洞庭桂鱼	28800	4	-1	0	-1	0	-1	0	0	0	28339	96	5
75	金币菜4	口袋豆腐	1800	4	-1	0	-1	0	-1	0	288	0	0	6	5
76	金币菜4	酿豆腐	14400	4	-1	0	-1	0	-1	0	1843	0	0	48	5
77	金币菜4	清炖蟹粉狮子头	28800	4	-1	0	-1	0	-1	0	2764	0	0	96	5
78	道具菜1（锻石）	走油豆鼓扣肉	1800	4	2012	30	-1	0	-1	0	0	0	0	6	5
79	道具菜1（锻石）	香菇盒	14400	4	2012	180	-1	0	-1	0	0	0	0	48	5
80	道具菜1（锻石）	干菜焖肉	28800	4	2012	260	-1	0	-1	0	0	0	0	96	5
81	道具菜2（锻石）	花蓝桂鱼	1800	4	2013	10	-1	0	-1	0	0	0	0	6	5
82	道具菜2（锻石）	红烧寒菌	14400	4	2013	90	-1	0	-1	0	0	0	0	48	5
83	道具菜2（锻石）	氽毛豆	28800	4	2013	130	-1	0	-1	0	0	0	0	96	5
84	道具菜3（锻石）	东坡肉	1800	4	2014	10	-1	0	-1	0	0	0	0	6	5
85	道具菜3（锻石）	氽大甲	14400	4	2014	40	-1	0	-1	0	0	0	0	48	5
86	道具菜3（锻石）	三套鸭	28800	4	2014	50	-1	0	-1	0	0	0	0	96	5
87	道具菜4（锻石）	烩银耳	1800	4	2015	10	-1	0	-1	0	0	0	0	6	5
88	道具菜4（锻石）	酱泼肉	14400	4	2015	40	-1	0	-1	0	0	0	0	48	5
89	道具菜4（锻石）	咸肉丝儿	28800	4	2015	50	-1	0	-1	0	0	0	0	96	5
90	道具菜1（璞玉）	麻婆豆腐	1800	4	2021	30	-1	0	-1	0	0	0	0	6	5
91	道具菜1（璞玉）	蛤蜊黄鱼羹	14400	4	2021	180	-1	0	-1	0	0	0	0	48	5
92	道具菜1（璞玉）	佛跳墙	28800	4	2021	260	-1	0	-1	0	0	0	0	96	5
93	道具菜2（璞玉）	腊味合蒸	1800	4	2022	10	-1	0	-1	0	0	0	0	6	5
94	道具菜2（璞玉）	炒子蟹	14400	4	2022	90	-1	0	-1	0	0	0	0	48	5
95	道具菜2（璞玉）	孔府一品锅	28800	4	2022	130	-1	0	-1	0	0	0	0	96	5
96	道具菜3（璞玉）	炒肉丝儿	1800	4	2023	10	-1	0	-1	0	0	0	0	6	5
97	道具菜3（璞玉）	白菜锅子	14400	4	2023	40	-1	0	-1	0	0	0	0	48	5
98	道具菜3（璞玉）	海鲫鱼	28800	4	2023	50	-1	0	-1	0	0	0	0	96	5
99	道具菜4（璞玉）	红糟排骨	1800	4	2024	10	-1	0	-1	0	0	0	0	6	5
100	道具菜4（璞玉）	广式烧填鸭	14400	4	2024	40	-1	0	-1	0	0	0	0	48	5
101	道具菜4（璞玉）	八宝榛子酱	28800	4	2024	50	-1	0	-1	0	0	0	0	96	5
102	道具菜1（药材）	池塘莲花	1800	4	2030	30	-1	0	-1	0	0	0	0	6	5
103	道具菜1（药材）	糖熘儿	14400	4	2030	180	-1	0	-1	0	0	0	0	48	5
104	道具菜1（药材）	什锦锅子	28800	4	2030	260	-1	0	-1	0	0	0	0	96	5
105	道具菜2（药材）	清炖马蹄鳖	1800	4	2031	10	-1	0	-1	0	0	0	0	6	5
106	道具菜2（药材）	炒虾黄儿	14400	4	2031	90	-1	0	-1	0	0	0	0	48	5
107	道具菜2（药材）	黄花鱼	28800	4	2031	130	-1	0	-1	0	0	0	0	96	5
108	道具菜3（药材）	奶汤	1800	4	2032	10	-1	0	-1	0	0	0	0	6	5
109	道具菜3（药材）	软溜珠廉鱼	14400	4	2032	40	-1	0	-1	0	0	0	0	48	5
110	道具菜3（药材）	腌苤蓝丝儿	28800	4	2032	50	-1	0	-1	0	0	0	0	96	5
111	道具菜4（药材）	丝瓜卤蒸黄鱼	1800	4	2033	10	-1	0	-1	0	0	0	0	6	5
112	道具菜4（药材）	烧萝卜	14400	4	2033	40	-1	0	-1	0	0	0	0	48	5
113	道具菜4（药材）	烹白肉	28800	4	2033	50	-1	0	-1	0	0	0	0	96	5
114	经验菜5	扒鸡腿儿	1800	5	-1	0	-1	0	-1	0	0	0	3312	6	5
115	经验菜5	糖焖莲子	14400	5	-1	0	-1	0	-1	0	0	0	21196	48	5
116	经验菜5	冰糖湘莲	28800	5	-1	0	-1	0	-1	0	0	0	31795	96	5
117	金币菜5	杭州煨鸡	1800	5	-1	0	-1	0	-1	0	324	0	0	6	5
118	金币菜5	烩白菜	14400	5	-1	0	-1	0	-1	0	2073	0	0	48	5
119	金币菜5	七星鱼丸汤	28800	5	-1	0	-1	0	-1	0	3110	0	0	96	5
120	道具菜1（锻石）	海白米	1800	5	2012	30	-1	0	-1	0	0	0	0	6	5
121	道具菜1（锻石）	熘蟹黄儿	14400	5	2012	200	-1	0	-1	0	0	0	0	48	5
122	道具菜1（锻石）	拔丝山药	28800	5	2012	290	-1	0	-1	0	0	0	0	96	5
123	道具菜2（锻石）	醉蚌肉	1800	5	2013	20	-1	0	-1	0	0	0	0	6	5
