Id	GroupId	GoodsId	Rate	Desc	Name
INT	INT	INT	INT	STRING	STRING
#MAX_ID=99999;MAX_RECORD=10000;TableType=Index;
#序号	组号	物品ID	出产概率(区间制)	描述
1	1	51000	100	生活技能装戒指（40）	紫夜戒指
2	1	51001	200	生活技能装戒指（40）	紫夜戒指
3	1	51002	300	生活技能装戒指（40）	紫夜戒指
4	1	51003	400	生活技能装戒指（40）	紫夜戒指
5	1	51004	500	生活技能装戒指（40）	紫夜戒指
6	1	51005	600	生活技能装戒指（40）	紫夜戒指
7	1	51006	700	生活技能装戒指（40）	紫夜戒指
8	1	51007	800	生活技能装戒指（40）	紫夜戒指
9	1	51008	900	生活技能装戒指（40）	紫夜戒指
10	1	51009	1000	生活技能装戒指（40）	紫夜戒指
11	1	51010	1100	生活技能装戒指（40）	紫夜戒指
12	1	51011	1200	生活技能装戒指（40）	紫夜戒指
13	1	51012	1300	生活技能装戒指（40）	紫夜戒指
14	1	51013	1400	生活技能装戒指（40）	紫夜戒指
15	1	51014	1500	生活技能装戒指（40）	紫夜戒指
16	1	51015	1600	生活技能装戒指（40）	紫夜戒指
17	1	51016	1700	生活技能装戒指（40）	紫夜戒指
18	1	51017	1800	生活技能装戒指（40）	紫夜戒指
19	1	51018	1900	生活技能装戒指（40）	紫夜戒指
20	1	51019	2000	生活技能装戒指（40）	紫夜戒指
21	1	51020	3000	生活技能装戒指（40）	紫夜戒指
22	1	51021	4000	生活技能装戒指（40）	紫夜戒指
23	1	51022	5000	生活技能装戒指（40）	紫夜戒指
24	1	51023	5500	生活技能装戒指（40）	紫夜戒指
25	1	51024	7000	生活技能装戒指（40）	紫夜戒指
26	1	51025	8500	生活技能装戒指（40）	紫夜戒指
27	1	51026	10000	生活技能装戒指（40）	紫夜戒指
28	2	51027	100	生活技能装护符（40）	碧流护符
29	2	51028	200	生活技能装护符（40）	碧流护符
30	2	51029	300	生活技能装护符（40）	碧流护符
31	2	51030	400	生活技能装护符（40）	碧流护符
32	2	51031	500	生活技能装护符（40）	碧流护符
33	2	51032	600	生活技能装护符（40）	碧流护符
34	2	51033	700	生活技能装护符（40）	碧流护符
35	2	51034	800	生活技能装护符（40）	碧流护符
36	2	51035	900	生活技能装护符（40）	碧流护符
37	2	51036	1000	生活技能装护符（40）	碧流护符
38	2	51037	1100	生活技能装护符（40）	碧流护符
39	2	51038	1200	生活技能装护符（40）	碧流护符
40	2	51039	1300	生活技能装护符（40）	碧流护符
41	2	51040	1400	生活技能装护符（40）	碧流护符
42	2	51041	1500	生活技能装护符（40）	碧流护符
43	2	51042	1600	生活技能装护符（40）	碧流护符
44	2	51043	1700	生活技能装护符（40）	碧流护符
45	2	51044	1800	生活技能装护符（40）	碧流护符
46	2	51045	1900	生活技能装护符（40）	碧流护符
47	2	51046	2000	生活技能装护符（40）	碧流护符
48	2	51047	3000	生活技能装护符（40）	碧流护符
49	2	51048	4000	生活技能装护符（40）	碧流护符
50	2	51049	5000	生活技能装护符（40）	碧流护符
51	2	51050	5500	生活技能装护符（40）	碧流护符
52	2	51051	7000	生活技能装护符（40）	碧流护符
53	2	51052	8500	生活技能装护符（40）	碧流护符
54	2	51053	10000	生活技能装护符（40）	碧流护符
55	3	51054	123	生活技能装戒指（60）	百川戒指
56	3	51055	246	生活技能装戒指（60）	百川戒指
57	3	51056	369	生活技能装戒指（60）	百川戒指
58	3	51057	492	生活技能装戒指（60）	百川戒指
59	3	51058	615	生活技能装戒指（60）	百川戒指
60	3	51059	738	生活技能装戒指（60）	百川戒指
61	3	51060	861	生活技能装戒指（60）	百川戒指
